Date,Category,Payment Mode,Description,Amount Paid,Cashback
2024-01-08,Groceries,Cash,Purchased groceries and household items.,4526.29,0.0
2024-01-17,Gifts,Debit Card,Purchased gifts for friends and family.,4124.91,0.0
2024-01-17,Entertainment,UPI,"Movies, concerts, and recreational activities.",3561.67,18.86
2024-01-04,Travel,Cash,Expense for travel tickets and accommodation.,2016.78,0.0
2024-01-13,Gifts,UPI,Purchased gifts for friends and family.,3003.78,14.23
2024-01-21,Subscriptions,UPI,Online streaming and magazine subscriptions.,2063.19,16.26
2024-01-27,Transportation,Cash,Daily commute and fuel expenses.,1684.69,0.0
2024-01-01,Groceries,Cash,Purchased groceries and household items.,1197.87,0.0
2024-01-08,Subscriptions,Cash,Online streaming and magazine subscriptions.,3191.74,0.0
2024-01-02,Transportation,Debit Card,Daily commute and fuel expenses.,342.9,0.0
2024-01-20,Transportation,Debit Card,Daily commute and fuel expenses.,4934.17,0.0
2024-01-10,Groceries,Debit Card,Purchased groceries and household items.,4629.3,0.0
2024-01-25,Gifts,Debit Card,Purchased gifts for friends and family.,3955.0,0.0
2024-01-03,Groceries,UPI,Purchased groceries and household items.,4339.61,13.18
2024-01-12,Transportation,Credit Card,Daily commute and fuel expenses.,3457.09,0.0
2024-01-16,Gifts,UPI,Purchased gifts for friends and family.,3078.29,3.38
2024-01-03,Transportation,Debit Card,Daily commute and fuel expenses.,799.2,0.0
2024-01-27,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",232.05,0.0
2024-01-07,Transportation,Cash,Daily commute and fuel expenses.,1487.28,0.0
2024-01-02,Groceries,Debit Card,Purchased groceries and household items.,4204.75,0.0
2024-01-10,Travel,UPI,Expense for travel tickets and accommodation.,1479.79,9.48
2024-01-09,Transportation,UPI,Daily commute and fuel expenses.,3563.17,15.38
2024-01-24,Travel,Credit Card,Expense for travel tickets and accommodation.,3070.65,0.0
2024-01-16,Groceries,Debit Card,Purchased groceries and household items.,4706.92,0.0
2024-01-26,Entertainment,Cash,"Movies, concerts, and recreational activities.",3275.44,0.0
2024-01-12,Subscriptions,Cash,Online streaming and magazine subscriptions.,3635.12,0.0
2024-01-23,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2212.5,0.0
2024-01-08,Transportation,Debit Card,Daily commute and fuel expenses.,2342.1,0.0
2024-01-12,Transportation,Credit Card,Daily commute and fuel expenses.,1294.66,0.0
2024-01-26,Groceries,Cash,Purchased groceries and household items.,3255.22,0.0
2024-01-03,Groceries,Cash,Purchased groceries and household items.,4768.58,0.0
2024-01-14,Transportation,Debit Card,Daily commute and fuel expenses.,1526.22,0.0
2024-01-17,Subscriptions,UPI,Online streaming and magazine subscriptions.,928.55,2.97
2024-01-17,Groceries,Credit Card,Purchased groceries and household items.,751.95,0.0
2024-01-04,Transportation,Credit Card,Daily commute and fuel expenses.,3323.04,0.0
2024-01-27,Transportation,Credit Card,Daily commute and fuel expenses.,4743.11,0.0
2024-01-26,Travel,UPI,Expense for travel tickets and accommodation.,4371.75,17.42
2024-01-03,Transportation,UPI,Daily commute and fuel expenses.,3874.17,11.27
2024-01-24,Travel,Cash,Expense for travel tickets and accommodation.,1253.42,0.0
2024-01-27,Entertainment,UPI,"Movies, concerts, and recreational activities.",2039.23,6.13
2024-01-13,Entertainment,Cash,"Movies, concerts, and recreational activities.",1861.78,0.0
2024-01-06,Groceries,Credit Card,Purchased groceries and household items.,3251.6,0.0
2024-01-09,Gifts,UPI,Purchased gifts for friends and family.,1785.85,15.75
2024-01-24,Gifts,Debit Card,Purchased gifts for friends and family.,1495.71,0.0
2024-01-02,Transportation,Credit Card,Daily commute and fuel expenses.,609.67,0.0
2024-01-06,Entertainment,UPI,"Movies, concerts, and recreational activities.",2821.06,16.95
2024-01-12,Gifts,Debit Card,Purchased gifts for friends and family.,679.37,0.0
2024-01-27,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3418.56,0.0
2024-01-25,Gifts,Cash,Purchased gifts for friends and family.,2581.83,0.0
2024-01-09,Travel,Credit Card,Expense for travel tickets and accommodation.,3099.3,0.0
2024-01-22,Groceries,Credit Card,Purchased groceries and household items.,770.25,0.0
2024-01-14,Gifts,UPI,Purchased gifts for friends and family.,2852.4,2.3
2024-01-12,Subscriptions,Cash,Online streaming and magazine subscriptions.,2365.98,0.0
2024-01-12,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",447.82,0.0
2024-01-10,Groceries,Credit Card,Purchased groceries and household items.,4435.59,0.0
2024-01-07,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4735.68,0.0
2024-01-23,Travel,UPI,Expense for travel tickets and accommodation.,3846.65,2.2
2024-01-02,Entertainment,Cash,"Movies, concerts, and recreational activities.",2318.98,0.0
2024-01-07,Subscriptions,Cash,Online streaming and magazine subscriptions.,1992.47,0.0
2024-01-12,Transportation,Debit Card,Daily commute and fuel expenses.,1031.28,0.0
2024-01-11,Groceries,Credit Card,Purchased groceries and household items.,1705.05,0.0
2024-01-06,Travel,Debit Card,Expense for travel tickets and accommodation.,4647.61,0.0
2024-01-06,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1333.99,0.0
2024-01-23,Travel,Credit Card,Expense for travel tickets and accommodation.,4542.17,0.0
2024-01-05,Gifts,Credit Card,Purchased gifts for friends and family.,2666.57,0.0
2024-01-12,Groceries,Credit Card,Purchased groceries and household items.,2453.67,0.0
2024-01-02,Transportation,Cash,Daily commute and fuel expenses.,1858.14,0.0
2024-01-16,Travel,UPI,Expense for travel tickets and accommodation.,1763.81,16.35
2024-01-09,Gifts,UPI,Purchased gifts for friends and family.,1255.81,13.87
2024-01-27,Travel,UPI,Expense for travel tickets and accommodation.,711.09,7.23
2024-01-16,Subscriptions,Cash,Online streaming and magazine subscriptions.,260.42,0.0
2024-01-13,Transportation,Debit Card,Daily commute and fuel expenses.,3199.65,0.0
2024-01-10,Subscriptions,Cash,Online streaming and magazine subscriptions.,1534.15,0.0
2024-01-13,Groceries,UPI,Purchased groceries and household items.,4362.61,15.35
2024-01-22,Entertainment,Cash,"Movies, concerts, and recreational activities.",1454.77,0.0
2024-01-22,Transportation,UPI,Daily commute and fuel expenses.,3343.97,17.42
2024-01-01,Subscriptions,Cash,Online streaming and magazine subscriptions.,2059.4,0.0
2024-01-01,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3974.33,0.0
2024-01-13,Entertainment,Cash,"Movies, concerts, and recreational activities.",3235.37,0.0
2024-01-02,Transportation,Debit Card,Daily commute and fuel expenses.,4806.6,0.0
2024-01-11,Travel,Cash,Expense for travel tickets and accommodation.,2986.71,0.0
2024-01-07,Transportation,Cash,Daily commute and fuel expenses.,2744.31,0.0
2024-01-17,Entertainment,UPI,"Movies, concerts, and recreational activities.",3128.34,13.09
2024-01-06,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",846.94,0.0
2024-01-05,Groceries,UPI,Purchased groceries and household items.,1600.4,13.34
2024-01-10,Gifts,Credit Card,Purchased gifts for friends and family.,2471.34,0.0
2024-01-06,Subscriptions,Cash,Online streaming and magazine subscriptions.,3846.55,0.0
2024-01-26,Travel,Credit Card,Expense for travel tickets and accommodation.,1920.73,0.0
2024-01-27,Transportation,Debit Card,Daily commute and fuel expenses.,4925.98,0.0
2024-01-14,Gifts,Cash,Purchased gifts for friends and family.,4052.61,0.0
2024-01-23,Transportation,Debit Card,Daily commute and fuel expenses.,2193.38,0.0
2024-01-12,Travel,Credit Card,Expense for travel tickets and accommodation.,1220.36,0.0
2024-01-14,Travel,Credit Card,Expense for travel tickets and accommodation.,576.15,0.0
2024-01-24,Groceries,Credit Card,Purchased groceries and household items.,258.0,0.0
2024-01-23,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1282.3,0.0
2024-01-08,Transportation,Credit Card,Daily commute and fuel expenses.,3223.34,0.0
2024-01-25,Gifts,UPI,Purchased gifts for friends and family.,4238.84,8.18
2024-01-22,Gifts,Cash,Purchased gifts for friends and family.,3504.48,0.0
2024-01-02,Groceries,Debit Card,Purchased groceries and household items.,1856.27,0.0
2024-01-08,Groceries,Debit Card,Purchased groceries and household items.,3256.5,0.0
2024-01-07,Subscriptions,Cash,Online streaming and magazine subscriptions.,4512.83,0.0
2024-01-25,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1926.04,0.0
2024-01-21,Gifts,UPI,Purchased gifts for friends and family.,297.85,15.52
2024-01-26,Travel,Debit Card,Expense for travel tickets and accommodation.,2101.07,0.0
2024-01-20,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1861.7,0.0
2024-01-21,Groceries,Debit Card,Purchased groceries and household items.,4284.73,0.0
2024-01-20,Travel,UPI,Expense for travel tickets and accommodation.,530.63,13.58
2024-01-02,Groceries,UPI,Purchased groceries and household items.,4806.3,11.37
2024-01-07,Travel,Credit Card,Expense for travel tickets and accommodation.,4480.65,0.0
2024-02-08,Entertainment,UPI,"Movies, concerts, and recreational activities.",1551.7,13.97
2024-02-03,Transportation,Cash,Daily commute and fuel expenses.,3166.24,0.0
2024-02-04,Groceries,Credit Card,Purchased groceries and household items.,1057.3,0.0
2024-02-18,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",867.28,0.0
2024-02-18,Gifts,UPI,Purchased gifts for friends and family.,2031.85,15.56
2024-02-06,Groceries,Debit Card,Purchased groceries and household items.,3608.38,0.0
2024-02-01,Subscriptions,Cash,Online streaming and magazine subscriptions.,898.07,0.0
2024-02-03,Entertainment,UPI,"Movies, concerts, and recreational activities.",4705.24,17.73
2024-02-23,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1245.79,0.0
2024-02-10,Transportation,Credit Card,Daily commute and fuel expenses.,2764.97,0.0
2024-02-17,Travel,Debit Card,Expense for travel tickets and accommodation.,3274.71,0.0
2024-02-13,Transportation,Cash,Daily commute and fuel expenses.,2678.75,0.0
2024-02-12,Groceries,Credit Card,Purchased groceries and household items.,1569.01,0.0
2024-02-08,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,740.44,0.0
2024-02-13,Transportation,Debit Card,Daily commute and fuel expenses.,2745.12,0.0
2024-02-20,Transportation,Debit Card,Daily commute and fuel expenses.,2742.25,0.0
2024-02-09,Transportation,Cash,Daily commute and fuel expenses.,788.75,0.0
2024-02-14,Groceries,UPI,Purchased groceries and household items.,1963.3,1.7
2024-02-24,Travel,Debit Card,Expense for travel tickets and accommodation.,4706.04,0.0
2024-02-03,Groceries,Debit Card,Purchased groceries and household items.,2720.06,0.0
2024-02-11,Gas Bill,UPI,Monthly gas bill payment.,3965.2,7.46
2024-02-04,Groceries,Debit Card,Purchased groceries and household items.,1077.4,0.0
2024-02-24,Groceries,Credit Card,Purchased groceries and household items.,774.4,0.0
2024-02-25,Transportation,UPI,Daily commute and fuel expenses.,4759.21,7.16
2024-02-20,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4746.26,0.0
2024-02-05,Groceries,Debit Card,Purchased groceries and household items.,3682.0,0.0
2024-02-05,Travel,Cash,Expense for travel tickets and accommodation.,3629.48,0.0
2024-02-20,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4532.85,0.0
2024-02-13,Groceries,UPI,Purchased groceries and household items.,2633.7,8.6
2024-02-02,Gifts,Credit Card,Purchased gifts for friends and family.,4028.89,0.0
2024-02-16,Travel,Credit Card,Expense for travel tickets and accommodation.,607.28,0.0
2024-02-21,Transportation,UPI,Daily commute and fuel expenses.,836.52,5.0
2024-02-11,Transportation,UPI,Daily commute and fuel expenses.,2303.09,19.89
2024-02-16,Entertainment,UPI,"Movies, concerts, and recreational activities.",2666.69,6.37
2024-02-06,Gifts,Cash,Purchased gifts for friends and family.,1125.51,0.0
2024-02-20,Transportation,Cash,Daily commute and fuel expenses.,1002.34,0.0
2024-02-21,Entertainment,UPI,"Movies, concerts, and recreational activities.",3975.73,5.07
2024-02-20,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1417.51,0.0
2024-02-15,Groceries,UPI,Purchased groceries and household items.,2235.17,5.51
2024-02-03,Transportation,Debit Card,Daily commute and fuel expenses.,485.26,0.0
2024-02-05,Entertainment,Cash,"Movies, concerts, and recreational activities.",4998.48,0.0
2024-02-07,Travel,Cash,Expense for travel tickets and accommodation.,925.63,0.0
2024-02-17,Transportation,UPI,Daily commute and fuel expenses.,2021.15,3.58
2024-02-04,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,463.24,0.0
2024-02-08,Travel,Cash,Expense for travel tickets and accommodation.,4551.94,0.0
2024-02-26,Gifts,Credit Card,Purchased gifts for friends and family.,3841.53,0.0
2024-02-22,Entertainment,UPI,"Movies, concerts, and recreational activities.",3201.73,7.9
2024-02-01,Transportation,UPI,Daily commute and fuel expenses.,4162.34,1.35
2024-02-20,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",477.02,0.0
2024-02-08,Travel,Cash,Expense for travel tickets and accommodation.,4914.75,0.0
2024-02-21,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4952.63,0.0
2024-02-25,Subscriptions,UPI,Online streaming and magazine subscriptions.,656.03,2.28
2024-02-02,Entertainment,Cash,"Movies, concerts, and recreational activities.",293.81,0.0
2024-02-19,Entertainment,Cash,"Movies, concerts, and recreational activities.",3996.8,0.0
2024-02-17,Groceries,Credit Card,Purchased groceries and household items.,1224.81,0.0
2024-02-20,Subscriptions,Cash,Online streaming and magazine subscriptions.,3301.59,0.0
2024-02-13,Gifts,Cash,Purchased gifts for friends and family.,1406.34,0.0
2024-02-05,Travel,Debit Card,Expense for travel tickets and accommodation.,2158.7,0.0
2024-02-26,Transportation,Credit Card,Daily commute and fuel expenses.,3222.93,0.0
2024-02-21,Gifts,Debit Card,Purchased gifts for friends and family.,3618.54,0.0
2024-02-24,Transportation,Credit Card,Daily commute and fuel expenses.,654.05,0.0
2024-02-23,Travel,Cash,Expense for travel tickets and accommodation.,774.21,0.0
2024-02-01,Transportation,UPI,Daily commute and fuel expenses.,1734.26,15.51
2024-02-20,Transportation,Debit Card,Daily commute and fuel expenses.,320.72,0.0
2024-02-03,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3081.84,0.0
2024-02-04,Gifts,Cash,Purchased gifts for friends and family.,2596.73,0.0
2024-02-16,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3703.56,0.0
2024-02-21,Travel,Debit Card,Expense for travel tickets and accommodation.,3160.55,0.0
2024-02-18,Groceries,Credit Card,Purchased groceries and household items.,3232.14,0.0
2024-02-03,Subscriptions,Cash,Online streaming and magazine subscriptions.,3828.91,0.0
2024-02-17,Groceries,UPI,Purchased groceries and household items.,1970.92,15.5
2024-02-22,Groceries,UPI,Purchased groceries and household items.,2963.57,18.58
2024-02-15,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,2970.31,0.0
2024-02-25,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,968.66,0.0
2024-02-05,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3812.68,0.0
2024-02-09,Travel,Credit Card,Expense for travel tickets and accommodation.,1841.26,0.0
2024-02-16,Transportation,Credit Card,Daily commute and fuel expenses.,1710.07,0.0
2024-02-27,Transportation,Cash,Daily commute and fuel expenses.,328.74,0.0
2024-02-01,Subscriptions,UPI,Online streaming and magazine subscriptions.,1270.59,3.56
2024-02-02,Travel,Cash,Expense for travel tickets and accommodation.,1636.34,0.0
2024-02-22,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,159.92,0.0
2024-02-19,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1622.72,0.0
2024-02-09,Gifts,Credit Card,Purchased gifts for friends and family.,850.43,0.0
2024-02-17,Entertainment,Cash,"Movies, concerts, and recreational activities.",1722.99,0.0
2024-02-02,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1969.76,0.0
2024-02-27,Entertainment,UPI,"Movies, concerts, and recreational activities.",3425.03,2.08
2024-02-13,Transportation,Credit Card,Daily commute and fuel expenses.,1766.4,0.0
2024-02-09,Transportation,Cash,Daily commute and fuel expenses.,1584.63,0.0
2024-02-22,Gifts,Cash,Purchased gifts for friends and family.,1888.92,0.0
2024-02-25,Entertainment,Cash,"Movies, concerts, and recreational activities.",2466.69,0.0
2024-02-25,Groceries,Credit Card,Purchased groceries and household items.,4027.46,0.0
2024-02-20,Groceries,Cash,Purchased groceries and household items.,1824.54,0.0
2024-02-02,Transportation,Credit Card,Daily commute and fuel expenses.,3664.34,0.0
2024-02-20,Travel,Credit Card,Expense for travel tickets and accommodation.,1102.79,0.0
2024-02-26,Groceries,Credit Card,Purchased groceries and household items.,3052.39,0.0
2024-02-18,Travel,Debit Card,Expense for travel tickets and accommodation.,1506.69,0.0
2024-02-21,Transportation,Debit Card,Daily commute and fuel expenses.,2033.16,0.0
2024-02-24,Gifts,Credit Card,Purchased gifts for friends and family.,4497.04,0.0
2024-02-19,Groceries,UPI,Purchased groceries and household items.,2900.8,1.85
2024-02-14,Transportation,UPI,Daily commute and fuel expenses.,4288.12,13.28
2024-02-23,Transportation,Debit Card,Daily commute and fuel expenses.,2887.65,0.0
2024-02-03,Groceries,Debit Card,Purchased groceries and household items.,1116.8,0.0
2024-02-10,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2489.37,0.0
2024-02-11,Transportation,Cash,Daily commute and fuel expenses.,178.12,0.0
2024-02-23,Groceries,UPI,Purchased groceries and household items.,3521.92,13.33
2024-02-09,Transportation,Debit Card,Daily commute and fuel expenses.,314.27,0.0
2024-02-12,Transportation,Cash,Daily commute and fuel expenses.,132.32,0.0
2024-02-08,Transportation,UPI,Daily commute and fuel expenses.,3073.14,18.54
2024-02-23,Groceries,Cash,Purchased groceries and household items.,1845.89,0.0
2024-02-22,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1592.96,0.0
2024-02-13,Travel,Credit Card,Expense for travel tickets and accommodation.,4377.37,0.0
2024-02-04,Groceries,Credit Card,Purchased groceries and household items.,3622.77,0.0
2024-02-21,Groceries,Cash,Purchased groceries and household items.,3577.53,0.0
2024-02-21,Entertainment,UPI,"Movies, concerts, and recreational activities.",1770.05,19.23
2024-02-17,Groceries,Debit Card,Purchased groceries and household items.,2286.38,0.0
2024-02-16,Groceries,Debit Card,Purchased groceries and household items.,608.34,0.0
2024-02-04,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4909.06,0.0
2024-02-22,Transportation,Cash,Daily commute and fuel expenses.,2736.45,0.0
2024-02-05,Transportation,UPI,Daily commute and fuel expenses.,349.28,14.46
2024-02-03,Travel,Credit Card,Expense for travel tickets and accommodation.,1101.18,0.0
2024-02-11,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4123.78,0.0
2024-02-12,Transportation,Cash,Daily commute and fuel expenses.,2062.26,0.0
2024-02-26,Gifts,Debit Card,Purchased gifts for friends and family.,4528.48,0.0
2024-02-27,Travel,Cash,Expense for travel tickets and accommodation.,844.37,0.0
2024-02-26,Travel,UPI,Expense for travel tickets and accommodation.,1862.43,12.7
2024-02-16,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,634.67,0.0
2024-02-11,Subscriptions,Cash,Online streaming and magazine subscriptions.,3897.21,0.0
2024-02-20,Travel,Credit Card,Expense for travel tickets and accommodation.,2039.57,0.0
2024-02-23,Entertainment,Cash,"Movies, concerts, and recreational activities.",3758.35,0.0
2024-02-24,Transportation,Debit Card,Daily commute and fuel expenses.,761.58,0.0
2024-02-26,Gifts,UPI,Purchased gifts for friends and family.,690.6,19.52
2024-02-08,Travel,UPI,Expense for travel tickets and accommodation.,1442.9,19.33
2024-02-06,Entertainment,Cash,"Movies, concerts, and recreational activities.",357.28,0.0
2024-02-05,Gifts,Credit Card,Purchased gifts for friends and family.,3506.09,0.0
2024-02-20,Gifts,Debit Card,Purchased gifts for friends and family.,3861.17,0.0
2024-02-07,Transportation,Debit Card,Daily commute and fuel expenses.,4455.56,0.0
2024-02-26,Gifts,Debit Card,Purchased gifts for friends and family.,4099.06,0.0
2024-02-05,Entertainment,UPI,"Movies, concerts, and recreational activities.",4129.25,8.59
2024-02-24,Gifts,Cash,Purchased gifts for friends and family.,2226.94,0.0
2024-02-20,Groceries,UPI,Purchased groceries and household items.,4408.88,4.34
2024-02-12,Groceries,Cash,Purchased groceries and household items.,3082.35,0.0
2024-02-18,Subscriptions,Cash,Online streaming and magazine subscriptions.,1976.55,0.0
2024-02-19,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3443.39,0.0
2024-02-08,Groceries,Cash,Purchased groceries and household items.,2918.97,0.0
2024-02-10,Groceries,Cash,Purchased groceries and household items.,4323.95,0.0
2024-02-26,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2846.32,0.0
2024-02-06,Gifts,Credit Card,Purchased gifts for friends and family.,3440.46,0.0
2024-02-03,Transportation,UPI,Daily commute and fuel expenses.,1481.67,3.24
2024-02-06,Gifts,Cash,Purchased gifts for friends and family.,1352.37,0.0
2024-02-07,Transportation,Debit Card,Daily commute and fuel expenses.,3987.5,0.0
2024-03-09,Gifts,Cash,Purchased gifts for friends and family.,3356.12,0.0
2024-03-08,Groceries,Cash,Purchased groceries and household items.,4502.8,0.0
2024-03-12,Groceries,Cash,Purchased groceries and household items.,3768.13,0.0
2024-03-07,Gifts,UPI,Purchased gifts for friends and family.,2301.87,15.87
2024-03-07,Travel,Credit Card,Expense for travel tickets and accommodation.,1073.09,0.0
2024-03-05,Subscriptions,Cash,Online streaming and magazine subscriptions.,2425.97,0.0
2024-03-27,Travel,Cash,Expense for travel tickets and accommodation.,692.44,0.0
2024-03-23,Groceries,Debit Card,Purchased groceries and household items.,1187.71,0.0
2024-03-25,Travel,Cash,Expense for travel tickets and accommodation.,4424.35,0.0
2024-03-26,Gas Bill,Cash,Monthly gas bill payment.,589.52,0.0
2024-03-07,Subscriptions,UPI,Online streaming and magazine subscriptions.,3317.7,9.69
2024-03-13,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2917.67,0.0
2024-03-14,Transportation,UPI,Daily commute and fuel expenses.,4803.76,1.54
2024-03-15,Travel,Debit Card,Expense for travel tickets and accommodation.,4987.05,0.0
2024-03-04,Gifts,Credit Card,Purchased gifts for friends and family.,4793.65,0.0
2024-03-06,Transportation,Credit Card,Daily commute and fuel expenses.,2877.35,0.0
2024-03-24,Subscriptions,Cash,Online streaming and magazine subscriptions.,3703.34,0.0
2024-03-15,Gifts,Cash,Purchased gifts for friends and family.,3790.48,0.0
2024-03-12,Groceries,Cash,Purchased groceries and household items.,2435.2,0.0
2024-03-19,Travel,Cash,Expense for travel tickets and accommodation.,2443.95,0.0
2024-03-13,Entertainment,Cash,"Movies, concerts, and recreational activities.",472.7,0.0
2024-03-22,Travel,UPI,Expense for travel tickets and accommodation.,4403.08,3.46
2024-03-25,Groceries,UPI,Purchased groceries and household items.,706.93,11.46
2024-03-13,Travel,Debit Card,Expense for travel tickets and accommodation.,3741.54,0.0
2024-03-24,Travel,Cash,Expense for travel tickets and accommodation.,4658.25,0.0
2024-03-09,Transportation,Cash,Daily commute and fuel expenses.,3165.72,0.0
2024-03-17,Travel,UPI,Expense for travel tickets and accommodation.,549.69,1.71
2024-03-13,Entertainment,Cash,"Movies, concerts, and recreational activities.",4794.15,0.0
2024-03-01,Travel,UPI,Expense for travel tickets and accommodation.,4309.97,2.53
2024-03-09,Subscriptions,UPI,Online streaming and magazine subscriptions.,1506.27,7.34
2024-03-09,Gifts,Debit Card,Purchased gifts for friends and family.,999.03,0.0
2024-03-11,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2904.73,0.0
2024-03-24,Subscriptions,Cash,Online streaming and magazine subscriptions.,4515.94,0.0
2024-03-11,Travel,Debit Card,Expense for travel tickets and accommodation.,884.04,0.0
2024-03-12,Transportation,UPI,Daily commute and fuel expenses.,1265.3,6.53
2024-03-27,Travel,Debit Card,Expense for travel tickets and accommodation.,2848.38,0.0
2024-03-25,Transportation,Credit Card,Daily commute and fuel expenses.,4617.94,0.0
2024-03-02,Groceries,Credit Card,Purchased groceries and household items.,1702.37,0.0
2024-03-24,Travel,Debit Card,Expense for travel tickets and accommodation.,1315.52,0.0
2024-03-16,Groceries,Credit Card,Purchased groceries and household items.,1709.97,0.0
2024-03-06,Transportation,Debit Card,Daily commute and fuel expenses.,4615.94,0.0
2024-03-05,Gifts,UPI,Purchased gifts for friends and family.,212.87,9.91
